trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,T,D6,fast,narrow,,,,,,,,,45549.192,48054.657,True
B1_T02,1,VT,D5,fast,narrow,49850.787,49850.787,50198.995,50380.281,49850.787,50672.343,50811.723,50992.722,50380.281,50825.482,True
B1_T03,1,VT,D7,fast,narrow,53846.542,53846.542,54194.577,54375.540,53846.542,54667.974,54807.182,54988.505,53846.542,54556.834,True
B1_T04,1,V,,slow,narrow,57758.942,57758.942,58343.731,58635.975,57758.942,59123.060,59373.836,59652.787,,59012.013,True
B1_T05,1,V,,slow,narrow,62116.527,62116.527,62701.200,62993.059,62116.527,63481.173,63731.091,64009.292,,62993.059,True
B1_T06,1,VT,D1,slow,wide,67044.942,67044.942,67629.249,67922.110,67044.942,68409.192,68659.932,68938.278,68938.278,68645.960,True
B1_T07,1,VT,D7,slow,narrow,71109.816,71109.816,71694.769,71986.945,71109.816,72474.817,72725.050,73003.320,71109.816,73546.259,True
B1_T08,1,VT,D7,slow,wide,75745.988,75745.988,76330.417,76623.138,75745.988,77110.250,77360.685,77639.463,75745.988,77820.486,True
B1_T09,1,T,D1,fast,narrow,,,,,,,,,81704.747,83835.096,True
B1_T10,1,V,,slow,wide,86118.294,86118.294,86702.917,86995.355,86118.294,87482.774,87733.131,88011.584,,,False
B1_T11,1,V,,fast,wide,90628.742,90628.742,90976.936,91157.717,90628.742,91450.416,91589.152,91770.280,,91700.746,True
B1_T12,1,VT,D4,fast,wide,94429.931,94429.931,94777.381,94958.443,94429.931,95250.827,95389.969,95570.697,94429.931,95278.860,True
B1_T13,1,T,D2,fast,narrow,,,,,,,,,99344.027,101599.291,True
B1_T14,1,T,D1,slow,narrow,,,,,,,,,105817.655,105678.901,True
