Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
30.204318,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
31.095259,pps_response,,,,,,62
32.515233,pps_vib_fired,PRACTICE_T01,,,,D4,127
35.968051,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
36.497088,pps_response,,,,,,62
36.831269,pps_vib_fired,PRACTICE_T02,,,,D4,127
41.202360,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
43.081655,pps_response,,,,,,62
46.925017,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
48.163707,pps_response,,,,,,62
52.019418,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
55.081716,pps_response,,,,,,62
57.963464,pps_trial_start,PRACTICE_T02,Both,,,45,45
59.689842,pps_response,,,,,,62
60.260032,pps_vib_fired,PRACTICE_T02,,,,D4,127
63.601333,pps_trial_start,PRACTICE_T03,Both,,,46,46
64.451244,pps_vib_fired,PRACTICE_T03,,,,D4,127
64.520725,pps_response,,,,,,62
67.041508,pps_session_start,,,,,,61
69.756053,pps_trial_start,B1_T01,VisualOnly,,,1,1
72.401907,pps_response,,,,,,62
75.743598,pps_trial_start,B1_T02,TactileOnly,,,13,13
78.333684,pps_response,,,,,,62
78.709503,pps_vib_fired,B1_T02,,,,D3,127
81.438122,pps_trial_start,B1_T03,Both,,,54,54
81.882114,pps_vib_fired,B1_T03,,,,D6,127
85.070997,pps_trial_start,B1_T04,TactileOnly,,,6,6
86.686037,pps_vib_fired,B1_T04,,,,D1,127
89.915308,pps_trial_start,B1_T05,TactileOnly,,,5,5
93.925932,pps_response,,,,,,62
94.218198,pps_vib_fired,B1_T05,,,,D1,127
95.860664,pps_trial_start,B1_T06,Both,,,37,37
99.494700,pps_vib_fired,B1_T06,,,,D2,127
99.731636,pps_response,,,,,,62
101.430310,pps_trial_start,B1_T07,VisualOnly,,,1,1
104.938242,pps_response,,,,,,62
107.471827,pps_trial_start,B1_T08,VisualOnly,,,2,2
108.502494,pps_response,,,,,,62
110.436530,pps_trial_start,B1_T09,Both,,,38,38
111.621051,pps_response,,,,,,62
111.801914,pps_vib_fired,B1_T09,,,,D2,127
113.458631,pps_trial_start,B1_T10,VisualOnly,,,2,2
114.697719,pps_response,,,,,,62
116.827398,pps_trial_start,B1_T11,TactileOnly,,,17,17
117.328895,pps_response,,,,,,62
119.140150,pps_vib_fired,B1_T11,,,,D4,127
122.494886,pps_trial_start,B1_T12,Both,,,45,45
123.176852,pps_response,,,,,,62
124.791151,pps_vib_fired,B1_T12,,,,D4,127
128.438800,pps_trial_start,B1_T13,TactileOnly,,,6,6
128.577636,pps_response,,,,,,62
130.053043,pps_vib_fired,B1_T13,,,,D1,127
131.654703,pps_trial_start,B1_T14,TactileOnly,,,17,17
132.656922,pps_response,,,,,,62
133.965795,pps_vib_fired,B1_T14,,,,D4,127
137.196391,pps_trial_start,B1_T15,Both,,,58,58
137.321248,pps_vib_fired,B1_T15,,,,D7,127
137.697247,pps_response,,,,,,62
140.174931,pps_trial_start,B1_T16,Both,,,57,57
140.481418,pps_vib_fired,B1_T16,,,,D7,127
141.386437,pps_response,,,,,,62
145.799282,pps_trial_start,B1_T17,TactileOnly,,,14,14
146.230530,pps_response,,,,,,62
146.912784,pps_vib_fired,B1_T17,,,,D3,127
149.210467,pps_trial_start,B1_T18,TactileOnly,,,13,13
150.866845,pps_response,,,,,,62
152.175803,pps_vib_fired,B1_T18,,,,D3,127
155.030560,pps_trial_start,B1_T19,Both,,,33,33
155.503450,pps_response,,,,,,62
159.331415,pps_vib_fired,B1_T19,,,,D1,127
160.779174,pps_trial_start,B1_T20,TactileOnly,,,18,18
161.002195,pps_response,,,,,,62
161.642647,pps_vib_fired,B1_T20,,,,D4,127
162.394418,pps_attention_check_shown,,,,,,61
165.164011,pps_attention_check_done,,,,,,61
166.750916,pps_trial_start,B1_T21,Both,,,37,37
167.489546,pps_response,,,,,,62
170.385321,pps_vib_fired,B1_T21,,,,D2,127
172.307509,pps_trial_start,B1_T22,TactileOnly,,,26,26
172.670463,pps_vib_fired,B1_T22,,,,D6,127
0.000000,session_end,,,,,,57
