subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
PANCAKE11,1,1,1,V,1,slow,narrow,,69756.053,69756.053,70062.526,70062.526,70716.848,71385.676,72053.079,72722.290,73390.519,74059.420,,72401.907,,,3.500,0.150,None,0,2026-07-22T17:30:12.1470636+02:00
PANCAKE11,1,1,2,T,1,slow,narrow,D3,75743.598,,,,,,,,,,78709.503,78333.684,-375.8,1.267,3.500,0.150,None,0,2026-07-22T17:30:18.1174048+02:00
PANCAKE11,1,1,3,VT,0,fast,narrow,D6,81438.122,81438.122,81563.001,81563.001,81882.114,82061.381,82299.783,82550.057,82801.091,83052.044,81882.114,,,2.942,3.500,0.150,None,0,2026-07-22T17:30:21.6668380+02:00
PANCAKE11,1,1,4,T,0,fast,narrow,D1,85070.997,,,,,,,,,,86686.037,,,0.150,3.500,0.150,None,0,2026-07-22T17:30:26.5115907+02:00
PANCAKE11,1,1,5,T,1,slow,narrow,D1,89915.308,,,,,,,,,,94218.198,93925.932,-292.3,0.150,3.500,0.150,None,0,2026-07-22T17:30:32.2902728+02:00
PANCAKE11,1,1,6,VT,1,slow,narrow,D2,95860.664,95860.664,96167.396,96167.396,96821.247,97490.067,98158.815,98826.852,99494.700,100162.593,99494.700,99731.636,236.9,0.708,3.500,0.150,None,0,2026-07-22T17:30:38.2486950+02:00
PANCAKE11,1,1,7,V,1,slow,narrow,,101430.310,101430.310,101736.103,101736.103,102390.458,103058.446,103726.875,104396.065,105063.551,105731.562,,104938.242,,,3.500,0.150,None,0,2026-07-22T17:30:43.8179935+02:00
PANCAKE11,1,1,8,V,1,fast,narrow,,107471.827,107471.827,107597.482,107597.482,107834.452,108085.081,108335.567,108586.118,108836.824,109086.793,,108502.494,,,3.500,0.150,None,0,2026-07-22T17:30:47.1729318+02:00
PANCAKE11,1,1,9,VT,1,fast,narrow,D2,110436.530,110436.530,110562.068,110562.068,110798.767,111049.255,111312.930,111551.100,111801.914,112052.267,111801.914,111621.051,-180.9,0.708,3.500,0.150,None,0,2026-07-22T17:30:50.1386765+02:00
PANCAKE11,1,1,10,V,1,fast,narrow,,113458.631,113458.631,113569.591,113569.591,113807.127,114058.091,114307.913,114558.426,114809.078,115059.866,,114697.719,,,3.500,0.150,None,0,2026-07-22T17:30:53.1459504+02:00
PANCAKE11,1,1,11,T,1,slow,narrow,D4,116827.398,,,,,,,,,,119140.150,117328.895,-1811.3,1.825,3.500,0.150,None,0,2026-07-22T17:30:59.2168497+02:00
PANCAKE11,1,1,12,VT,1,slow,narrow,D4,122494.886,122494.886,122800.424,122800.424,123454.980,124122.698,124791.151,125459.854,126128.283,126795.714,124791.151,123176.852,-1614.3,1.825,3.500,0.150,None,0,2026-07-22T17:31:04.8825141+02:00
PANCAKE11,1,1,13,T,1,fast,narrow,D1,128438.800,,,,,,,,,,130053.043,128577.636,-1475.4,0.150,3.500,0.150,None,0,2026-07-22T17:31:08.1257389+02:00
PANCAKE11,1,1,14,T,1,slow,narrow,D4,131654.703,,,,,,,,,,133965.795,132656.922,-1308.9,1.825,3.500,0.150,None,0,2026-07-22T17:31:14.0429292+02:00
PANCAKE11,1,1,15,VT,1,fast,narrow,D7,137196.391,137196.391,137321.248,137321.248,137557.531,137808.458,138059.008,138309.948,138560.051,138810.923,137321.248,137697.247,376.0,3.500,3.500,0.150,None,0,2026-07-22T17:31:16.8972530+02:00
PANCAKE11,1,1,16,VT,1,slow,narrow,D7,140174.931,140174.931,140481.418,140481.418,141135.844,141804.036,142471.813,143140.575,143809.105,144477.552,140481.418,141386.437,905.0,3.500,3.500,0.150,None,0,2026-07-22T17:31:22.5631643+02:00
PANCAKE11,1,1,17,T,1,fast,narrow,D3,145799.282,,,,,,,,,,146912.784,146230.530,-682.3,1.267,3.500,0.150,None,0,2026-07-22T17:31:25.4862458+02:00
PANCAKE11,1,1,18,T,1,slow,narrow,D3,149210.467,,,,,,,,,,152175.803,150866.845,-1309.0,1.267,3.500,0.150,None,0,2026-07-22T17:31:31.5849861+02:00
PANCAKE11,1,1,19,VT,1,slow,narrow,D1,155030.560,155030.560,155336.535,155336.535,155989.970,156658.718,157326.822,157995.353,158663.409,159331.415,159331.415,155503.450,-3828.0,0.150,3.500,0.150,None,0,2026-07-22T17:31:37.4177304+02:00
PANCAKE11,1,1,20,T,1,fast,narrow,D4,160779.174,,,,,,,,,,161642.647,161002.195,-640.5,1.825,3.500,0.150,None,0,2026-07-22T17:31:40.4660218+02:00
PANCAKE11,1,1,21,VT,1,slow,narrow,D2,166750.916,166750.916,167058.211,167058.211,167711.671,168380.140,169049.041,169716.772,170385.321,171054.003,170385.321,167489.546,-2895.8,0.708,3.500,0.150,None,0,2026-07-22T17:31:49.1401812+02:00
