subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
PANCAKE5 ,1,1,1,VT,0,slow,narrow,D5,160963.385,160963.385,161270.382,161270.382,161924.225,162592.465,163261.274,163928.845,164597.627,165265.883,162592.465,,,2.383,3.500,0.150,None,0,2026-07-22T16:54:45.6215737+02:00
PANCAKE5 ,1,1,2,V,1,slow,narrow,,167633.021,167633.021,167938.299,167938.299,168592.997,169261.347,169929.797,170598.098,171266.234,171934.126,,168565.918,,,3.500,0.150,None,0,2026-07-22T16:54:51.4520212+02:00
PANCAKE5 ,1,1,3,VT,1,slow,narrow,D2,173326.643,173326.643,173632.705,173632.705,174287.390,174956.237,175623.461,176291.904,176959.804,177629.115,176959.804,174565.485,-2394.3,0.708,3.500,0.150,None,0,2026-07-22T16:54:57.1455515+02:00
PANCAKE5 ,1,1,4,T,1,slow,narrow,D3,179035.491,,,,,,,,,,182014.362,179912.051,-2102.3,1.267,3.500,0.150,None,0,2026-07-22T16:55:02.8546745+02:00
PANCAKE5 ,1,1,5,V,1,slow,narrow,,184672.715,184672.715,184979.692,184979.692,185634.626,186302.269,186970.391,187638.093,188307.497,188975.113,,187541.342,,,3.500,0.150,None,0,2026-07-22T16:55:08.4931016+02:00
PANCAKE5 ,1,1,6,V,1,fast,narrow,,190339.589,190339.589,190450.570,190450.570,190687.876,190938.567,191188.844,191439.119,191689.983,191940.074,,190715.416,,,3.500,0.150,None,0,2026-07-22T16:55:11.4580207+02:00
PANCAKE5 ,1,1,7,V,0,slow,narrow,,193597.371,193597.371,193904.404,193904.404,194557.576,195225.172,195894.443,196562.938,197230.209,197898.411,,,,,3.500,0.150,None,0,2026-07-22T16:55:17.4159297+02:00
PANCAKE5 ,1,1,8,V,0,slow,narrow,,199402.386,199402.386,199708.435,199708.435,200362.711,201031.271,201699.766,202368.277,203035.829,203704.165,,,,,3.500,0.150,None,0,2026-07-22T16:55:23.2211507+02:00
PANCAKE5 ,1,1,9,VT,0,slow,narrow,D5,204970.926,204970.926,205277.244,205277.244,205931.837,206599.732,207268.333,207936.724,208605.304,209273.559,206599.732,,,2.383,3.500,0.150,None,0,2026-07-22T16:55:29.3772440+02:00
