trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,T,D6,slow,wide,,,,,,,,,,164300.218,True
B1_T02,1,VT,D6,fast,wide,166501.678,166501.678,166752.180,166878.049,166989.555,167100.917,167240.184,167490.752,,169286.906,True
B1_T03,1,VT,D2,slow,narrow,170901.814,170901.814,171667.595,172057.228,172391.269,172739.322,173115.081,173881.067,,173839.030,True
B1_T04,1,V,,fast,narrow,175510.821,175510.821,175761.009,175886.391,175997.950,176122.892,176248.949,176499.197,,176318.120,True
B1_T05,1,VT,D5,fast,narrow,178072.215,178072.215,178323.010,178448.600,178559.536,178685.440,178810.214,179061.019,,178823.989,True
B1_T06,1,V,,fast,narrow,181579.541,181579.541,181830.127,181957.332,182066.852,182192.045,182317.852,182568.681,,182498.919,True
B1_T07,1,T,D2,fast,narrow,,,,,,,,,,187303.307,True
B1_T08,1,VT,D2,slow,narrow,189029.448,189029.448,189794.970,190185.391,190519.305,190867.622,191243.018,192022.887,,191507.815,True
B1_T09,1,V,,fast,narrow,193860.629,193860.629,194110.972,194236.575,194348.413,194473.444,194598.573,194849.458,,,False
B1_T10,1,VT,D4,fast,wide,197007.103,197007.103,197257.420,197383.104,197494.077,197619.585,197745.116,197995.496,,197745.116,True
B1_T11,1,VT,D3,fast,narrow,200013.893,200013.893,200265.034,200389.809,200501.387,200627.140,200751.995,201002.661,,200654.927,True
B1_T12,1,VT,D7,slow,wide,203439.339,203439.339,204204.991,204594.496,204929.102,205277.153,205653.105,206419.047,,205611.079,True
B1_T13,1,V,,fast,wide,208827.518,208827.518,209077.504,209203.130,209314.744,209439.956,209565.822,209816.296,,209384.400,True
B1_T14,1,T,D1,fast,wide,,,,,,,,,,214937.942,True
B1_T15,1,VT,D2,fast,wide,216817.196,216817.196,217067.720,217192.911,217304.778,217429.820,217555.246,217805.787,,217346.175,True
B1_T16,1,VT,D5,slow,narrow,219462.640,219462.640,220227.988,220617.560,220951.956,221299.600,221675.823,222455.031,,221606.387,True
B1_T17,1,VT,D7,slow,wide,224794.119,224794.119,225559.606,225949.964,226283.691,226631.724,227007.473,227773.091,,226952.060,True
B1_T18,1,T,D6,slow,wide,,,,,,,,,,234734.207,True
B2_T01,2,VT,D7,fast,narrow,267033.713,267033.713,267281.989,267409.398,267521.346,267645.974,267771.557,268022.166,,268035.661,True
B2_T02,2,V,,slow,narrow,269998.785,269998.785,270764.419,271154.816,271488.619,271836.756,272212.277,272977.870,,272254.220,True
