trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D7,slow,wide,51345.535,51345.535,51930.185,52222.329,51345.535,52709.567,52960.198,53238.674,51345.535,52375.997,True
B1_T02,1,VT,D7,fast,wide,55856.374,55856.374,56203.925,56385.059,55856.374,56677.397,56816.504,56997.581,55856.374,56385.059,True
B1_T03,1,T,D3,fast,wide,,,,,,,,,60018.467,61368.339,True
B1_T04,1,V,,slow,narrow,63053.019,63053.019,63637.550,63929.901,63053.019,64417.551,64667.693,64946.120,,65099.178,True
B1_T05,1,V,,slow,narrow,67577.957,67577.957,68163.049,68455.256,67577.957,68942.336,69193.432,69471.512,,,False
B1_T06,1,V,,fast,wide,72297.591,72297.591,72645.474,72827.018,72297.591,73118.981,73257.901,73438.994,,,False
B1_T07,1,VT,D6,slow,narrow,75847.804,75847.804,76432.348,76724.608,75847.804,77211.974,77462.653,77740.911,76432.348,77462.653,True
B1_T08,1,VT,D5,slow,narrow,79926.384,79926.384,80510.819,80803.443,79926.384,81290.675,81541.095,81819.465,80803.443,81652.534,True
B1_T09,1,VT,D6,slow,narrow,84812.735,84812.735,85397.800,85690.116,84812.735,86177.349,86427.741,86706.343,85397.800,86136.071,True
B1_T10,1,T,D5,fast,narrow,,,,,,,,,90284.035,91161.064,True
B1_T11,1,T,D6,fast,narrow,,,,,,,,,93691.628,94360.591,True
B1_T12,1,VT,D2,fast,wide,96673.532,96673.532,97021.810,97202.527,96673.532,97481.315,97634.268,97815.262,97634.268,97968.533,True
B1_T13,1,T,D3,slow,narrow,,,,,,,,,101449.653,102201.481,True
B1_T14,1,VT,D2,fast,narrow,104525.948,104525.948,104874.562,105041.393,104525.948,105333.979,105487.151,105668.147,105487.151,105793.592,True
B1_T15,1,VT,D7,slow,narrow,107854.253,107854.253,108439.181,108731.530,107854.253,109218.685,109469.499,109747.988,107854.253,108787.136,True
B1_T16,1,VT,D1,slow,narrow,111877.541,111877.541,112462.590,112754.984,111877.541,113242.010,113492.549,113771.182,113771.182,114216.561,True
B1_T17,1,VT,D1,slow,wide,116694.847,116694.847,117279.697,117571.959,116694.847,118059.234,118310.133,118588.597,118588.597,118909.060,True
B1_T18,1,V,,slow,narrow,121373.418,121373.418,121957.814,122250.150,121373.418,122737.345,122988.075,123266.918,,,False
B2_T01,2,VT,D7,fast,narrow,160354.251,160354.251,160701.932,160882.800,160354.251,161175.147,161314.715,161495.331,160354.251,161063.965,True
B2_T02,2,VT,D4,slow,narrow,163472.475,163472.475,164057.200,164349.606,163472.475,164836.708,165087.401,165365.822,163472.475,164112.904,True
B2_T03,2,VT,D5,slow,narrow,167719.586,167719.586,168303.811,168596.148,167719.586,169083.708,169334.291,169612.432,168596.148,169013.790,True
B2_T04,2,T,D3,fast,narrow,,,,,,,,,172995.287,174039.189,True
B2_T05,2,T,D3,fast,wide,,,,,,,,,176963.007,177394.322,True
B2_T06,2,V,,fast,narrow,179357.350,179357.350,179705.237,179886.213,179357.350,180178.600,180317.805,180499.582,,180471.429,True
B2_T07,2,VT,D6,slow,wide,182907.547,182907.547,183493.129,183784.518,182907.547,184271.727,184522.364,184801.023,183493.129,183590.057,True
B2_T08,2,VT,D2,fast,wide,187599.168,187599.168,187947.402,188128.745,187599.168,188420.776,188560.349,188740.736,188560.349,188309.165,True
B2_T09,2,VT,D5,fast,narrow,190662.084,190662.084,191010.118,191191.718,190662.084,191483.827,191622.493,191803.444,191191.718,191650.459,True
B2_T10,2,VT,D2,slow,narrow,193822.666,193822.666,194406.996,194699.551,193822.666,195186.955,195437.475,195715.958,195437.475,196440.305,True
B2_T11,2,V,,fast,narrow,198166.220,198166.220,198514.107,198695.626,198166.220,198987.453,199126.893,199307.577,,,False
B2_T12,2,VT,D4,fast,wide,201466.155,201466.155,201813.965,201995.436,201466.155,202287.366,202426.382,202607.573,201466.155,202022.930,True
B2_T13,2,T,D6,slow,narrow,,,,,,,,,205726.152,206937.291,True
B2_T14,2,V,,slow,wide,209388.394,209388.394,209971.940,210264.658,209388.394,210751.869,211002.107,211280.833,,,False
B2_T15,2,T,D2,slow,narrow,,,,,,,,,215875.699,216418.985,True
B2_T16,2,VT,D1,slow,narrow,219161.800,219161.800,219746.084,220038.606,219161.800,220525.869,220776.309,221054.743,221054.743,221430.960,True
B2_T17,2,VT,D5,slow,wide,223825.285,223825.285,224409.864,224701.976,223825.285,225189.365,225440.279,225718.774,224701.976,225231.278,True
B2_T18,2,V,,slow,narrow,228238.399,228238.399,228823.338,229115.922,228238.399,229603.640,229854.160,230132.244,,,False
