subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
01-07-26-session1,1,1,33,VT,1,slow,narrow,D5,192237.738,192237.738,193727.622,194075.487,194451.293,195217.626,193393.331,195091.733,1698.4,None,0,2026-07-01T10:42:43.7001985+02:00
01-07-26-session1,1,1,34,V,0,slow,wide,,196456.420,196456.420,197945.973,198293.902,198669.917,199435.671,,,,None,0,2026-07-01T10:42:47.9190637+02:00
01-07-26-session1,1,1,35,VT,1,slow,wide,D6,200675.474,200675.474,202164.404,202512.590,202888.398,203654.140,201440.480,203097.610,1657.1,None,0,2026-07-01T10:42:52.1379527+02:00
01-07-26-session1,1,1,36,VT,1,slow,narrow,D5,204893.600,204893.600,206383.166,206731.105,207106.993,207872.308,206048.868,208401.494,2352.6,None,0,2026-07-01T10:42:56.8578357+02:00
01-07-26-session1,1,1,37,VT,1,fast,narrow,D6,209612.508,209612.508,210099.909,210225.018,210350.541,210600.764,209863.669,211463.956,1600.3,None,0,2026-07-01T10:43:01.0749071+02:00
01-07-26-session1,1,1,38,VT,1,slow,wide,D3,213830.804,213830.804,215320.382,215668.405,216044.025,216809.808,215668.405,217297.294,1628.9,None,0,2026-07-01T10:43:05.7535533+02:00
01-07-26-session1,1,1,39,VT,1,slow,narrow,D6,218508.638,218508.638,219998.394,220346.376,220722.292,221487.955,219274.282,220499.455,1225.2,None,0,2026-07-01T10:43:09.9698233+02:00
01-07-26-session1,1,1,40,T,1,slow,wide,D3,222726.695,,,,,,224578.323,226875.810,2297.5,None,0,2026-07-01T10:43:15.3318754+02:00
01-07-26-session1,1,1,41,VT,1,fast,narrow,D5,228087.640,228087.640,228574.685,228699.508,228824.777,229075.317,228462.867,231135.509,2672.6,None,0,2026-07-01T10:43:19.5918550+02:00
01-07-26-session1,1,1,42,V,0,fast,wide,,232347.034,232347.034,232834.250,232959.374,233085.358,233335.428,,,,None,0,2026-07-01T10:43:23.8078418+02:00
01-07-26-session1,1,1,43,VT,1,fast,narrow,D2,236563.882,236563.882,237051.500,237163.014,237302.233,237553.251,237302.233,239321.762,2019.5,None,0,2026-07-01T10:43:28.0276634+02:00
01-07-26-session1,1,1,44,VT,1,slow,narrow,D2,240783.751,240783.751,242273.333,242621.436,242997.530,243763.087,242997.530,244292.250,1294.7,None,0,2026-07-01T10:43:32.7484514+02:00
01-07-26-session1,1,1,45,T,1,fast,narrow,D4,245503.961,,,,,,246004.802,248942.431,2937.6,None,0,2026-07-01T10:43:37.3992690+02:00
01-07-26-session1,1,1,46,T,1,slow,narrow,D6,250153.494,,,,,,250932.920,252882.451,1949.5,None,0,2026-07-01T10:43:41.6165829+02:00
01-07-26-session1,1,1,47,T,1,slow,wide,D6,254372.077,,,,,,255151.715,257434.823,2283.1,None,0,2026-07-01T10:43:45.8902855+02:00
01-07-26-session1,1,1,48,VT,1,fast,narrow,D2,258646.358,258646.358,259133.378,259258.572,259384.406,259634.348,259384.406,260233.273,848.9,None,0,2026-07-01T10:43:50.1087872+02:00
01-07-26-session1,1,1,49,V,0,fast,wide,,262864.434,262864.434,263351.684,263477.023,263602.539,263853.101,,,,None,0,2026-07-01T10:43:54.3277184+02:00
01-07-26-session1,1,1,50,T,1,fast,narrow,D3,267082.601,,,,,,267709.080,269602.887,1893.8,None,0,2026-07-01T10:43:58.5462338+02:00
01-07-26-session1,1,1,51,VT,1,slow,wide,D4,271301.910,271301.910,272791.215,273139.682,273515.333,274280.995,272791.215,274072.209,1281.0,None,0,2026-07-01T10:44:02.7642903+02:00
01-07-26-session1,1,1,52,VT,1,slow,narrow,D7,275519.910,275519.910,277009.951,277357.480,277734.006,278499.184,275519.910,277497.071,1977.2,None,0,2026-07-01T10:44:06.9822080+02:00
01-07-26-session1,1,1,53,T,1,slow,narrow,D5,279738.194,,,,,,280907.791,282842.929,1935.1,None,0,2026-07-01T10:44:11.2982403+02:00
01-07-26-session1,1,1,54,V,0,slow,narrow,,284053.795,284053.795,285543.531,285891.611,286267.696,287033.295,,,,None,0,2026-07-01T10:44:15.5163208+02:00
01-07-26-session1,1,1,55,VT,1,fast,wide,D1,288272.434,288272.434,288759.606,288884.984,289010.327,289260.818,289260.818,289901.411,640.6,None,0,2026-07-01T10:44:19.7340744+02:00
01-07-26-session1,1,1,56,VT,1,fast,wide,D6,292490.800,292490.800,292978.285,293103.661,293228.893,293479.375,292741.823,294802.309,2060.5,None,0,2026-07-01T10:44:23.9522752+02:00
01-07-26-session1,1,1,57,VT,1,slow,narrow,D2,296709.197,296709.197,298198.929,298546.879,298922.597,299688.905,298922.597,300538.066,1615.5,None,0,2026-07-01T10:44:28.9943376+02:00
01-07-26-session1,1,1,58,T,1,slow,wide,D1,301749.369,,,,,,304756.907,306510.730,1753.8,None,0,2026-07-01T10:44:34.9667696+02:00
01-07-26-session1,1,1,59,V,0,slow,narrow,,307721.739,307721.739,309211.683,309569.174,309935.373,310700.901,,,,None,0,2026-07-01T10:44:39.1835747+02:00
01-07-26-session1,1,1,60,VT,1,slow,narrow,D4,311939.991,311939.991,313429.635,313777.629,314153.725,314919.242,313429.635,314821.836,1392.2,None,0,2026-07-01T10:44:43.4031022+02:00
01-07-26-session1,1,1,61,T,1,fast,wide,D6,316158.810,,,,,,316422.932,320975.101,4552.2,None,0,2026-07-01T10:44:49.4313002+02:00
01-07-26-session1,1,1,62,VT,1,slow,narrow,D2,322186.448,322186.448,323676.662,324024.080,324399.948,325165.699,324399.948,325973.437,1573.5,None,0,2026-07-01T10:44:54.4298416+02:00
01-07-26-session1,1,1,63,VT,1,fast,wide,D4,327184.824,327184.824,327671.964,327797.159,327922.218,328172.784,327671.964,329509.363,1837.4,None,0,2026-07-01T10:44:58.6475950+02:00
01-07-26-session1,1,1,64,VT,1,fast,narrow,D7,331403.175,331403.175,331890.316,332015.483,332140.708,332391.360,331403.175,333226.681,1823.5,None,0,2026-07-01T10:45:02.8660661+02:00
01-07-26-session1,1,1,65,VT,1,fast,narrow,D3,335622.333,335622.333,336109.731,336234.420,336359.629,336610.500,336234.420,338002.961,1768.5,None,0,2026-07-01T10:45:07.0845178+02:00
01-07-26-session1,1,1,66,VT,1,fast,wide,D4,339840.212,339840.212,340327.551,340452.744,340578.100,340828.491,340327.551,341844.673,1517.1,None,0,2026-07-01T10:45:11.3014222+02:00
01-07-26-session1,1,1,67,VT,1,fast,narrow,D4,344058.178,344058.178,344545.469,344698.813,344796.191,345046.832,344545.469,344824.532,279.1,None,0,2026-07-01T10:45:15.5199243+02:00
01-07-26-session1,1,1,68,VT,1,slow,wide,D7,348276.839,348276.839,349766.707,350115.047,350490.778,351256.361,348276.839,349906.400,1629.6,None,0,2026-07-01T10:45:19.7396957+02:00
01-07-26-session1,1,1,69,V,0,slow,wide,,352495.339,352495.339,353985.051,354333.487,354709.519,355474.854,,,,None,0,2026-07-01T10:45:23.9580030+02:00
01-07-26-session1,1,1,70,V,0,slow,wide,,356713.980,356713.980,358203.609,358551.738,358927.521,359693.393,,,,None,0,2026-07-01T10:45:28.1768676+02:00
01-07-26-session1,1,1,71,V,0,fast,narrow,,360932.410,360932.410,361419.523,361544.921,361669.930,361920.641,,,,None,0,2026-07-01T10:45:32.3942787+02:00
01-07-26-session1,1,1,72,VT,1,fast,wide,D7,365150.565,365150.565,365637.598,365762.550,365887.981,366138.564,365150.565,366472.688,1322.1,None,0,2026-07-01T10:45:36.6126488+02:00
01-07-26-session1,1,1,73,V,0,fast,wide,,369368.799,369368.799,369856.132,369981.773,370106.617,370357.236,,,,None,0,2026-07-01T10:45:40.8311384+02:00
01-07-26-session1,1,1,74,V,0,fast,wide,,373587.227,373587.227,374074.605,374199.749,374325.010,374575.363,,,,None,0,2026-07-01T10:45:45.0499479+02:00
01-07-26-session1,1,1,75,V,1,fast,wide,,377805.655,377805.655,378292.603,378417.984,378543.058,378793.742,,378083.653,,None,0,2026-07-01T10:45:49.2678551+02:00
01-07-26-session1,1,1,76,VT,1,fast,narrow,D7,382023.615,382023.615,382510.925,382636.091,382761.364,383012.070,382023.615,382733.592,710.0,None,0,2026-07-01T10:45:53.4866393+02:00
01-07-26-session1,1,1,77,T,1,fast,narrow,D2,386242.380,,,,,,386994.102,390850.452,3856.3,None,0,2026-07-01T10:45:59.3070556+02:00
01-07-26-session1,1,1,78,VT,1,fast,wide,D2,392061.527,392061.527,392549.060,392660.828,392799.470,393050.068,392799.470,394149.868,1350.4,None,0,2026-07-01T10:46:03.5248572+02:00
01-07-26-session1,1,1,79,VT,1,fast,narrow,D1,396280.378,396280.378,396767.551,396893.006,397018.201,397268.928,397268.928,397616.859,347.9,None,0,2026-07-01T10:46:07.7428636+02:00
01-07-26-session1,1,1,80,T,1,fast,wide,D2,400498.983,,,,,,401250.664,403283.560,2032.9,None,0,2026-07-01T10:46:11.9615022+02:00
01-07-26-session1,1,1,81,T,1,slow,narrow,D1,404717.505,,,,,,407724.537,409325.633,1601.1,None,0,2026-07-01T10:46:17.7812021+02:00
01-07-26-session1,1,1,82,VT,1,slow,wide,D5,410536.780,410536.780,412026.416,412374.375,412750.596,413516.088,411692.325,413794.559,2102.2,None,0,2026-07-01T10:46:22.2502563+02:00
01-07-26-session1,1,1,83,VT,1,fast,narrow,D6,415005.789,415005.789,415493.021,415618.404,415744.088,415994.408,415256.436,417149.941,1893.5,None,0,2026-07-01T10:46:26.4696818+02:00
01-07-26-session1,1,1,84,VT,1,fast,wide,D2,419224.462,419224.462,419711.551,419836.799,419962.200,420212.774,419962.200,422008.713,2046.5,None,0,2026-07-01T10:46:30.6868989+02:00
01-07-26-session1,1,1,85,VT,1,fast,wide,D5,423442.635,423442.635,423929.686,424055.739,424180.396,424430.839,423818.432,426004.205,2185.8,None,0,2026-07-01T10:46:34.9041281+02:00
01-07-26-session1,1,1,86,T,1,fast,wide,D5,427661.140,,,,,,428051.238,430445.452,2394.2,None,0,2026-07-01T10:46:39.1226642+02:00
01-07-26-session1,1,1,87,T,1,fast,wide,D3,431879.364,,,,,,432492.561,434190.755,1698.2,None,0,2026-07-01T10:46:43.3417415+02:00
01-07-26-session1,1,1,88,T,1,fast,narrow,D7,436097.807,,,,,,436097.807,438603.399,2505.6,None,0,2026-07-01T10:46:47.5598214+02:00
01-07-26-session1,1,1,89,V,0,fast,wide,,440316.065,440316.065,440803.542,440928.795,441054.407,441304.565,,,,None,0,2026-07-01T10:46:51.7786199+02:00
01-07-26-session1,1,1,90,VT,1,slow,narrow,D7,444534.652,444534.652,446024.585,446372.362,446748.199,447513.863,444534.652,446275.048,1740.4,None,0,2026-07-01T10:46:55.9967514+02:00
01-07-26-session1,1,1,91,VT,1,slow,wide,D5,448752.822,448752.822,450242.918,450590.451,450966.428,451732.509,449908.277,451481.507,1573.2,None,0,2026-07-01T10:47:00.2152022+02:00
01-07-26-session1,1,1,92,VT,1,slow,wide,D2,452971.317,452971.317,454461.029,454809.080,455184.888,455950.674,455184.888,456939.213,1754.3,None,0,2026-07-01T10:47:05.3954656+02:00
01-07-26-session1,1,1,93,VT,1,fast,wide,D1,458150.624,458150.624,458637.540,458762.840,458888.062,459138.771,459138.771,459723.399,584.6,None,0,2026-07-01T10:47:09.6114809+02:00
01-07-26-session1,1,1,94,VT,1,fast,narrow,D3,462369.057,462369.057,462856.167,462981.481,463106.555,463357.242,462981.481,464819.124,1837.6,None,0,2026-07-01T10:47:13.8307474+02:00
01-07-26-session1,1,1,95,T,1,slow,narrow,D4,466586.978,,,,,,468090.702,469872.689,1782.0,None,0,2026-07-01T10:47:18.3290906+02:00
01-07-26-session1,1,1,96,VT,1,slow,wide,D4,471084.250,471084.250,472573.529,472921.595,473297.496,474063.249,472573.529,473993.608,1420.1,None,0,2026-07-01T10:47:22.5473118+02:00
01-07-26-session1,1,1,97,VT,1,fast,wide,D3,475302.250,475302.250,475790.042,475901.537,476040.224,476290.940,475901.537,477947.544,2046.0,None,0,2026-07-01T10:47:26.7652392+02:00
01-07-26-session1,1,1,98,VT,1,fast,wide,D6,479520.806,479520.806,480008.215,480133.428,480258.824,480509.317,479771.964,481567.560,1795.6,None,0,2026-07-01T10:47:30.9828498+02:00
01-07-26-session1,1,1,99,VT,1,slow,wide,D5,483739.329,483739.329,485228.971,485576.986,485952.953,486718.582,484894.909,486690.745,1795.8,None,0,2026-07-01T10:47:35.2016434+02:00
01-07-26-session1,1,1,100,VT,1,slow,narrow,D6,487957.515,487957.515,489447.128,489795.274,490171.508,490936.945,488723.091,491354.656,2631.6,None,0,2026-07-01T10:47:39.8104634+02:00
01-07-26-session1,1,1,101,T,1,slow,wide,D5,492565.744,,,,,,493735.037,495141.755,1406.7,None,0,2026-07-01T10:47:44.0412956+02:00
