trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D4,fast,wide,40953.130,40953.130,41301.274,41468.671,40953.130,41761.039,41913.434,42094.233,40953.130,42024.895,True
B1_T02,1,VT,D2,fast,wide,44350.127,44350.127,44697.934,44878.881,44350.127,45171.600,45310.740,45491.780,45310.740,45227.191,True
B1_T03,1,VT,D1,fast,wide,47551.983,47551.983,47899.971,48081.184,47551.983,48373.576,48512.673,48693.712,48693.712,48345.586,True
B1_T04,1,T,D4,slow,narrow,,,,,,,,,51951.297,53120.802,True
B1_T05,1,VT,D4,fast,narrow,55028.335,55028.335,55376.189,55557.341,55028.335,55849.680,55988.789,56169.976,55028.335,55835.684,True
B1_T06,1,VT,D3,fast,narrow,58035.633,58035.633,58383.618,58564.455,58035.633,58856.696,58995.971,59176.912,58856.696,59441.482,True
B1_T07,1,T,D3,slow,narrow,,,,,,,,,62462.780,65623.281,True
B1_T08,1,VT,D5,fast,wide,67321.541,67321.541,67669.675,67851.256,67321.541,68143.107,68282.139,68463.174,67851.256,68992.055,True
B1_T09,1,VT,D1,fast,wide,71247.366,71247.366,71595.361,71776.479,71247.366,72068.803,72208.029,72389.290,72389.290,71762.509,True
B1_T10,1,V,,slow,narrow,74630.806,74630.806,75214.992,75507.816,74630.806,75994.796,76245.353,76532.966,,76190.075,True
B1_T11,1,VT,D3,slow,narrow,78667.562,78667.562,79252.885,79545.068,78667.562,80031.921,80282.336,80560.892,80031.921,80143.326,True
B1_T12,1,VT,D3,fast,wide,82691.081,82691.081,83039.207,83220.747,82691.081,83512.496,83651.890,83832.566,83512.496,83610.343,True
