trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,T,D2,slow,wide,,,,,,,,,,344299.378,True
B1_T02,1,T,D1,fast,narrow,,,,,,,,,,348378.658,True
B1_T03,1,VT,D5,fast,wide,350425.596,350425.596,350675.858,350801.445,350912.716,351038.377,351163.656,351414.426,,351386.348,True
B1_T04,1,VT,D7,fast,wide,353418.929,353418.929,353669.522,353794.742,353906.295,354031.193,354156.910,354407.055,,353947.786,True
B1_T05,1,VT,D1,slow,narrow,356022.369,356022.369,356787.846,357177.844,357511.986,357849.945,358231.473,359012.004,,357261.661,True
B1_T06,1,V,,slow,wide,360823.751,360823.751,361589.989,361980.338,362314.438,362662.280,363038.666,363804.144,,362997.352,True
B1_T07,1,T,D5,slow,wide,,,,,,,,,,371990.100,True
B1_T08,1,T,D5,slow,wide,,,,,,,,,,375498.529,True
B1_T09,1,VT,D1,fast,narrow,378826.056,378826.056,379076.824,379202.065,379313.775,379425.228,379564.223,379814.936,,379327.445,True
B1_T10,1,VT,D6,fast,narrow,381805.984,381805.984,382056.608,382181.805,382293.474,382418.682,382543.964,382794.320,,382209.792,True
B1_T11,1,VT,D6,fast,narrow,384813.249,384813.249,385063.555,385189.013,385300.258,385425.768,385551.257,385801.716,,385397.792,True
B1_T12,1,VT,D3,fast,narrow,387569.547,387569.547,387820.078,387945.582,388056.751,388182.055,388307.444,388558.014,,388098.591,True
B1_T13,1,VT,D1,fast,narrow,390938.857,390938.857,391189.134,391314.228,391425.765,391551.182,391676.657,391926.653,,391481.456,True
B1_T14,1,VT,D2,fast,wide,394349.722,394349.722,394599.896,394725.668,394836.923,394962.118,395087.664,395338.240,,394836.923,True
B1_T15,1,VT,D6,fast,narrow,397774.820,397774.820,398025.036,398150.310,398261.766,398387.352,398512.619,398763.087,,398400.973,True
B1_T16,1,V,,slow,narrow,400906.677,400906.677,401672.890,402062.285,402396.680,402744.484,403120.363,403886.369,,402160.588,True
B1_T17,1,V,,slow,wide,405473.207,405473.207,406239.167,406628.758,406962.632,407311.248,407687.406,408453.327,,407157.818,True
B1_T18,1,V,,slow,wide,410123.748,410123.748,410889.256,411279.413,411613.680,411961.229,412337.043,413102.797,,411919.471,True
B2_T01,2,VT,D6,fast,narrow,464975.471,464975.471,465225.875,465351.244,465463.355,465587.971,465713.297,465963.815,,465643.981,True
B2_T02,2,VT,D2,slow,wide,467829.439,467829.439,468595.199,468984.853,469319.219,469666.977,470042.852,470808.860,,469890.046,True
B2_T03,2,VT,D5,fast,narrow,472479.373,472479.373,472729.831,472855.286,472966.449,473091.979,473217.368,473467.947,,473077.917,True
B2_T04,2,V,,fast,narrow,475807.804,475807.804,476058.600,476183.908,476295.048,476420.477,476545.778,476796.220,,476281.267,True
B2_T05,2,VT,D5,fast,wide,478341.634,478341.634,478591.743,478717.437,478828.712,478954.283,479079.329,479329.818,,478870.577,True
B2_T06,2,T,D4,fast,narrow,,,,,,,,,,481919.311,True
B2_T07,2,VT,D4,slow,wide,484591.903,484591.903,485357.895,485747.487,486081.402,486429.509,486805.561,487585.314,,486248.628,True
B2_T08,2,V,,slow,wide,489227.778,489227.778,489994.006,490384.303,490717.926,491065.853,491441.262,492207.071,,490675.496,True
B2_T09,2,V,,fast,wide,494030.924,494030.924,494281.573,494406.709,494518.460,494643.429,494768.744,495019.223,,494740.961,True
B2_T10,2,VT,D5,fast,wide,496731.419,496731.419,496982.037,497107.627,497219.032,497330.649,497469.482,497720.853,,497455.719,True
B2_T11,2,T,D6,fast,wide,,,,,,,,,,504820.755,True
B2_T12,2,VT,D2,fast,narrow,506337.781,506337.781,506588.256,506713.821,506825.442,506950.481,507076.185,507326.375,,506880.855,True
B2_T13,2,VT,D4,slow,narrow,509039.150,509039.150,509804.668,510194.151,510528.833,510876.472,511252.737,512121.191,,509344.956,True
B2_T14,2,T,D3,fast,narrow,,,,,,,,,,516459.716,True
B2_T15,2,VT,D3,slow,wide,518283.129,518283.129,519048.969,519438.811,519772.995,520121.335,520496.796,521262.340,,519828.434,True
B2_T16,2,VT,D3,slow,wide,522947.939,522947.939,523713.444,524103.071,524436.926,524785.270,525161.279,525927.081,,524311.927,True
B2_T17,2,T,D7,fast,narrow,,,,,,,,,,531843.843,True
B2_T18,2,V,,slow,wide,533639.218,533639.218,534405.560,534794.572,535129.073,535477.025,535853.144,536618.595,,534697.007,True
