Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
164.579983,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
165.902231,pps_response,,,,,,62
166.891578,pps_vib_fired,PRACTICE_T01,,,,D4,127
170.260232,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
171.067933,pps_response,,,,,,62
171.123025,pps_vib_fired,PRACTICE_T02,,,,D4,127
176.565639,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
179.781265,pps_response,,,,,,62
182.329258,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
183.247333,pps_response,,,,,,62
188.119256,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
190.053720,pps_response,,,,,,62
194.035625,pps_trial_start,PRACTICE_T02,Both,,,45,45
196.331827,pps_vib_fired,PRACTICE_T02,,,,D4,127
200.465940,pps_trial_start,PRACTICE_T03,Both,,,46,46
201.328670,pps_vib_fired,PRACTICE_T03,,,,D4,127
201.662643,pps_response,,,,,,62
203.848895,pps_session_start,,,,,,61
207.522888,pps_trial_start,B1_T01,TactileOnly,,,21,21
209.165938,pps_vib_fired,B1_T01,,,,D5,127
213.787057,pps_trial_start,B1_T02,Both,,,37,37
216.389921,pps_response,,,,,,62
217.419993,pps_vib_fired,B1_T02,,,,D2,127
219.577758,pps_trial_start,B1_T03,VisualOnly,,,1,1
223.711730,pps_response,,,,,,62
225.493605,pps_trial_start,B1_T04,Both,,,46,46
226.356457,pps_vib_fired,B1_T04,,,,D4,127
227.095040,pps_response,,,,,,62
228.695613,pps_trial_start,B1_T05,TactileOnly,,,18,18
229.558265,pps_vib_fired,B1_T05,,,,D4,127
232.606252,pps_trial_start,B1_T06,TactileOnly,,,9,9
236.240833,pps_vib_fired,B1_T06,,,,D2,127
236.295634,pps_response,,,,,,62
238.649576,pps_trial_start,B1_T07,Both,,,57,57
238.955937,pps_vib_fired,B1_T07,,,,D7,127
244.870587,pps_trial_start,B1_T08,VisualOnly,,,1,1
245.774999,pps_response,,,,,,62
250.661089,pps_trial_start,B1_T09,VisualOnly,,,2,2
250.841887,pps_response,,,,,,62
253.751090,pps_trial_start,B1_T10,VisualOnly,,,1,1
254.211305,pps_response,,,,,,62
259.333229,pps_trial_start,B1_T11,TactileOnly,,,21,21
260.975356,pps_vib_fired,B1_T11,,,,D5,127
0.000000,session_end,,,,,,57
