trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D5,fast,wide,37729.629,37729.629,37980.228,38105.262,38216.647,38342.316,38467.364,38718.008,,38425.554,True
B1_T02,1,VT,D5,slow,wide,41947.764,41947.764,42713.554,43103.594,43438.078,43785.699,44161.312,44927.169,,43438.078,True
B1_T03,1,V,,fast,narrow,46166.598,46166.598,46417.288,46542.210,46653.674,46778.913,46904.779,47155.196,,46863.194,True
B1_T04,1,VT,D6,fast,narrow,50384.697,50384.697,50635.331,50760.652,50871.784,50996.989,51122.631,51373.399,,58473.398,True
B1_T05,1,VT,D7,fast,narrow,59684.673,59684.673,59935.323,60060.902,60172.207,60297.416,60423.029,60673.570,,60255.620,True
B1_T06,1,VT,D4,fast,narrow,63903.136,63903.136,64154.048,64279.098,64390.212,64516.315,64641.365,64891.255,,64725.787,True
B1_T07,1,VT,D7,fast,wide,68121.510,68121.510,68372.347,68497.708,68608.944,68734.597,68859.587,69109.940,,68483.900,True
B1_T08,1,T,D7,slow,narrow,,,,,,,,,,73230.724,True
B1_T09,1,VT,D1,fast,wide,76558.957,76558.957,76808.632,76934.048,77045.735,77171.156,77296.923,77546.640,,77978.268,True
B1_T10,1,V,,fast,wide,80776.711,80776.711,81027.172,81152.800,81263.849,81389.327,81514.445,81765.233,,,False
B1_T11,1,VT,D2,slow,narrow,84995.103,84995.103,85760.749,86150.307,86484.836,86833.039,87208.523,87974.477,,87751.357,True
B1_T12,1,T,D5,fast,wide,,,,,,,,,,90480.088,True
B1_T13,1,T,D1,fast,narrow,,,,,,,,,,95116.674,True
B1_T14,1,VT,D6,fast,wide,97650.053,97650.053,97900.964,98025.976,98137.623,98263.333,98388.044,98638.740,,98277.119,True
B1_T15,1,V,,slow,wide,101867.936,101867.936,102634.236,103023.658,103358.430,103706.204,104082.483,104848.544,,,False
B1_T16,1,T,D5,slow,wide,,,,,,,,,,107952.219,True
B1_T17,1,VT,D7,slow,wide,110318.897,110318.897,111084.576,111474.487,111808.633,112156.568,112532.789,113298.349,,303502.688,True
B1_T18,1,T,D1,fast,wide,,,,,,,,,,306857.672,True
B1_T19,1,VT,D2,fast,wide,308931.532,308931.532,309182.197,309307.422,309418.889,309544.209,309669.862,309919.789,,309962.171,True
B1_T20,1,VT,D6,slow,narrow,313149.794,313149.794,313915.067,314305.033,314639.221,314987.380,315363.371,316129.275,,314277.507,True
B1_T21,1,VT,D7,fast,wide,317368.760,317368.760,317618.904,317744.271,317856.067,317981.102,318106.565,318356.808,,317883.602,True
B1_T22,1,V,,fast,narrow,321586.941,321586.941,321837.618,321963.614,322073.678,322199.177,322324.699,322575.207,,,False
B1_T23,1,VT,D2,fast,wide,325805.069,325805.069,326055.876,326180.862,326292.362,326417.943,326542.925,326793.643,,326849.181,True
B1_T24,1,T,D1,slow,wide,,,,,,,,,,333768.651,True
B1_T25,1,VT,D4,slow,narrow,334979.615,334979.615,335745.285,336134.986,336469.228,336817.114,337193.126,337958.675,,336775.441,True
B1_T26,1,T,D2,fast,wide,,,,,,,,,,340561.934,True
B1_T27,1,VT,D7,slow,narrow,343415.666,343415.666,344181.441,344571.619,344905.432,345253.629,345629.873,346395.173,,343875.737,True
B1_T28,1,T,D2,slow,wide,,,,,,,,,,350613.836,True
B1_T29,1,V,,slow,narrow,351853.154,351853.154,352618.481,353008.717,353342.195,353690.374,354066.343,354845.812,,354804.234,True
B1_T30,1,VT,D6,fast,wide,356071.261,356071.261,356321.307,356447.041,356558.231,356683.585,356808.887,357059.385,,356683.585,True
B1_T31,1,VT,D2,fast,narrow,360289.575,360289.575,360540.168,360665.524,360777.019,360902.456,361027.859,361278.205,,365774.629,True
B1_T32,1,T,D6,fast,narrow,,,,,,,,,,372179.545,True
B1_T33,1,VT,D4,slow,narrow,373390.876,373390.876,374156.867,374545.273,374879.521,375227.290,375603.099,376383.280,,375158.284,True
B1_T34,1,V,,fast,wide,377608.514,377608.514,377859.308,377984.722,378095.896,378220.890,378346.592,378596.750,,378388.670,True
B1_T35,1,VT,D4,fast,narrow,381827.064,381827.064,382077.362,382202.884,382314.331,382439.436,382565.008,382815.784,,382565.008,True
B1_T36,1,VT,D5,slow,narrow,386045.271,386045.271,386811.776,387201.142,387534.851,387883.119,388258.671,389024.775,,387548.809,True
B1_T37,1,VT,D6,slow,narrow,390263.851,390263.851,391030.310,391418.754,391753.400,392102.146,392477.877,393243.417,,391349.650,True
B1_T38,1,VT,D3,fast,wide,394482.862,394482.862,394732.791,394857.920,394969.770,395094.726,395220.228,395470.317,,395373.041,True
B1_T39,1,VT,D7,slow,wide,398700.163,398700.163,399465.922,399856.192,400190.625,400537.846,400913.922,401679.877,,399730.681,True
B1_T40,1,VT,D5,fast,wide,402918.598,402918.598,403169.483,403294.793,403405.805,403531.118,403656.662,403906.966,,408557.399,True
B1_T41,1,VT,D6,fast,wide,409768.366,409768.366,410018.672,410144.366,410255.819,410381.511,410506.289,410756.958,,410450.392,True
B1_T42,1,VT,D3,fast,narrow,413986.820,413986.820,414237.619,414362.817,414474.023,414599.532,414724.365,414975.099,,414571.504,True
B1_T43,1,VT,D4,fast,wide,418205.143,418205.143,418456.286,418580.973,418692.244,418817.664,418942.946,419193.842,,419054.299,True
B1_T44,1,V,,slow,wide,422421.408,422421.408,423187.849,423577.931,423912.129,424260.747,424637.090,425402.630,,,False
B1_T45,1,T,D3,fast,narrow,,,,,,,,,,427881.097,True
B1_T46,1,VT,D2,fast,narrow,430860.163,430860.163,431110.872,431236.279,431347.645,431472.747,431598.234,431848.870,,432113.325,True
B1_T47,1,T,D4,slow,wide,,,,,,,,,,437069.733,True
B1_T48,1,T,D3,slow,wide,,,,,,,,,,441761.248,True
B1_T49,1,T,D4,fast,wide,,,,,,,,,,444462.104,True
B1_T50,1,VT,D3,slow,wide,447747.575,447747.575,448513.472,448903.296,449237.710,449585.493,449963.061,450726.825,,449877.724,True
B1_T51,1,VT,D6,fast,narrow,451966.242,451966.242,452216.849,452342.257,452453.618,452578.956,452704.326,452954.911,,452578.956,True
B1_T52,1,VT,D7,slow,wide,456184.888,456184.888,456950.419,457340.407,457674.470,458022.527,458398.400,459163.939,,456936.620,True
B1_T53,1,VT,D2,slow,wide,460402.982,460402.982,461168.790,461558.610,461892.531,462240.675,462616.526,463382.223,,460959.674,True
B1_T54,1,V,,fast,wide,464621.227,464621.227,464872.294,464997.305,465108.473,465234.000,465358.881,465609.471,,465275.317,True
B1_T55,1,VT,D4,fast,narrow,468839.489,468839.489,469089.754,469215.336,469326.705,469452.327,469577.960,469827.958,,469424.240,True
B1_T56,1,VT,D1,slow,wide,473057.996,473057.996,473824.122,474213.488,474547.714,474895.622,475271.728,476037.403,,476581.028,True
B1_T57,1,VT,D5,fast,wide,477792.271,477792.271,478042.912,478168.149,478279.535,478404.888,478530.257,478780.699,,478627.721,True
B1_T58,1,VT,D1,fast,narrow,482010.814,482010.814,482261.267,482386.631,482498.112,482623.464,482748.683,483000.154,,483360.844,True
B1_T59,1,VT,D3,slow,narrow,486229.389,486229.389,486995.271,487384.688,487718.900,488066.913,488442.572,489222.424,,488456.452,True
B1_T60,1,T,D6,slow,wide,,,,,,,,,,491867.128,True
B1_T61,1,VT,D2,slow,narrow,494665.169,494665.169,495430.981,495820.688,496155.169,496502.904,496878.842,497644.581,,497158.425,True
B1_T62,1,T,D2,slow,narrow,,,,,,,,,,503951.493,True
B1_T63,1,VT,D5,fast,narrow,505162.351,505162.351,505412.976,505538.143,505649.636,505774.962,505900.212,506150.736,,505816.653,True
B1_T64,1,VT,D2,fast,wide,509381.101,509381.101,509631.653,509756.876,509868.304,509993.537,510118.994,510369.525,,510522.855,True
B1_T65,1,VT,D4,fast,wide,513599.838,513599.838,513849.938,513975.421,514087.281,514212.771,514337.756,514588.429,,514129.030,True
B1_T66,1,V,,slow,wide,517818.077,517818.077,518583.580,518973.504,519307.766,519655.289,520031.048,520796.974,,,False
B1_T67,1,VT,D7,slow,narrow,522036.236,522036.236,522802.087,523192.100,523526.187,523874.606,524250.245,525016.648,,522621.048,True
B1_T68,1,VT,D2,slow,narrow,526255.603,526255.603,527021.232,527410.964,527745.499,528093.162,528469.200,529234.867,,528845.098,True
