trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D7,slow,narrow,70452.469,70452.469,71037.528,71330.237,70452.469,71817.451,72068.331,72346.480,70452.469,71343.956,True
B1_T02,1,VT,D4,slow,wide,74796.656,74796.656,75381.255,75673.863,74796.656,76161.391,76411.468,76690.153,74796.656,75687.586,True
B1_T03,1,V,,slow,wide,79613.688,79613.688,80198.173,80490.698,79613.688,80977.877,81228.337,81506.766,,,False
B1_T04,1,V,,fast,narrow,83748.483,83748.483,84096.308,84277.155,83748.483,84569.895,84709.017,84889.618,,84694.716,True
B1_T05,1,VT,D3,slow,wide,87145.793,87145.793,87730.666,88022.776,87145.793,88509.759,88760.549,89039.312,88509.759,89081.465,True
B1_T06,1,V,,fast,narrow,91182.874,91182.874,91531.067,91698.079,91182.874,91990.565,92143.741,92324.771,,,False
B1_T07,1,V,,fast,wide,94829.996,94829.996,95178.173,95345.476,94829.996,95651.822,95791.421,95971.612,,,False
B1_T08,1,VT,D1,slow,wide,97976.735,97976.735,98560.953,98853.627,97976.735,99341.115,99591.287,99870.098,99870.098,100482.655,True
B1_T09,1,VT,D1,fast,wide,102596.740,102596.740,102944.730,103112.069,102596.740,103405.336,103558.179,103739.387,103739.387,104199.444,True
