trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,V,,fast,wide,54291.885,54291.885,54807.007,55057.998,55280.648,55517.242,55767.892,56283.146,,,False
B1_T02,1,V,,slow,narrow,58678.092,58678.092,59708.424,60223.515,60668.546,61128.050,61628.976,62659.365,,,False
B1_T03,1,T,D6,slow,wide,,,,,,,,,65262.745,69216.655,True
B1_T04,1,VT,D4,fast,wide,71374.485,71374.485,71889.448,72140.294,72363.231,72599.420,72850.247,73365.491,72363.231,74966.639,True
B1_T05,1,VT,D6,fast,wide,76623.254,76623.254,77138.130,77389.235,77611.740,77848.161,78099.084,78613.863,77138.130,80424.395,True
B1_T06,1,VT,D4,fast,wide,82610.219,82610.219,83125.135,83376.006,83598.715,83835.412,84085.865,84601.213,83598.715,86327.548,True
B1_T07,1,T,D3,fast,narrow,,,,,,,,,89361.893,91993.527,True
B1_T08,1,VT,D6,fast,wide,93649.820,93649.820,94164.883,94415.663,94638.209,94875.672,95125.926,95640.987,94164.883,97451.212,True
B1_T09,1,V,,slow,narrow,99539.022,99539.022,100569.030,101084.635,101529.870,101989.313,102490.315,103521.548,,,False
B1_T10,1,VT,D3,fast,narrow,105678.967,105678.967,106194.235,106444.782,106666.977,106903.788,107154.316,107669.216,106903.788,109409.828,True
