subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,loom_onset_ms,d7_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,distance_m,loom_start_m,loom_end_m,vibration_device,trial_interrupted,timestamp
P001,1,1,24,T,1,fast,narrow,D4,490448.462,,,,,,,,,,491628.638,491989.972,361.3,1.250,2.250,0.250,None,0,2026-07-23T15:21:19.9309459+02:00
P001,1,1,25,T,1,fast,narrow,D2,494030.620,,,,,,,,,,495655.045,496030.293,375.2,0.583,2.250,0.250,None,0,2026-07-23T15:21:23.6556369+02:00
P001,1,1,26,VT,1,fast,narrow,D5,497654.945,497654.945,498168.636,498168.636,498390.914,498613.068,498835.062,499057.374,499279.649,499501.625,498613.068,498932.187,319.1,1.583,2.250,0.250,None,0,2026-07-23T15:21:27.1367000+02:00
P001,1,1,27,VT,1,fast,narrow,D6,500737.962,500737.962,501251.256,501251.256,501473.582,501695.882,501918.102,502140.342,502362.231,502584.411,501473.582,501751.567,278.0,1.917,2.250,0.250,None,0,2026-07-23T15:21:30.2193346+02:00
P001,1,1,28,V,0,slow,narrow,,504292.889,504292.889,505806.025,505806.025,506458.652,507125.471,507792.053,508472.264,509125.447,509792.235,,,,,2.250,0.250,None,0,2026-07-23T15:21:37.4272754+02:00
P001,1,1,29,T,0,fast,narrow,D6,511249.797,,,,,,,,,,511985.622,,,1.917,2.250,0.250,None,0,2026-07-23T15:21:47.4532721+02:00
P001,1,1,30,VT,1,fast,narrow,D4,521330.664,521330.664,521830.725,521830.725,522053.006,522261.383,522483.592,522719.475,522941.650,523163.728,522483.592,522747.109,263.5,1.250,2.250,0.250,None,0,2026-07-23T15:21:50.7995551+02:00
P001,1,1,31,VT,1,fast,narrow,D6,524524.961,524524.961,525038.431,525038.431,525260.614,525482.899,525704.907,525927.089,526149.959,526371.146,525260.614,525566.008,305.4,1.917,2.250,0.250,None,0,2026-07-23T15:21:54.0074079+02:00
P001,1,1,32,T,1,slow,narrow,D6,528149.391,,,,,,,,,,530328.999,530884.889,555.9,1.917,2.250,0.250,None,0,2026-07-23T15:22:01.2971863+02:00
P001,1,1,33,VT,1,fast,narrow,D5,534981.001,534981.001,535481.117,535481.117,535703.657,535925.409,536147.539,536369.933,536591.865,536814.218,535925.409,536217.029,291.6,1.583,2.250,0.250,None,0,2026-07-23T15:22:04.4495443+02:00
P001,1,1,34,VT,1,slow,narrow,D5,538439.047,538439.047,539938.685,539938.685,540605.473,541258.763,541937.861,542604.668,543271.315,543937.957,541258.763,541633.172,374.4,1.583,2.250,0.250,None,0,2026-07-23T15:22:11.5728886+02:00
P001,1,1,35,VT,1,fast,narrow,D4,545729.814,545729.814,546230.026,546230.026,546451.962,546674.198,546896.314,547118.551,547341.562,547562.947,546896.314,547215.950,319.6,1.250,2.250,0.250,None,0,2026-07-23T15:22:15.1978071+02:00
P001,1,1,36,VT,1,slow,narrow,D1,549381.948,549381.948,550895.270,550895.270,551560.192,552224.843,552892.220,553559.182,554226.605,554893.270,554893.270,555213.049,319.8,0.250,2.250,0.250,None,0,2026-07-23T15:22:22.8386419+02:00
P001,1,1,37,T,1,slow,narrow,D2,556810.772,,,,,,,,,,561644.973,562033.517,388.5,0.583,2.250,0.250,None,0,2026-07-23T15:22:29.9473937+02:00
