trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D6,fast,wide,266976.112,266976.112,267325.619,267505.084,266976.112,267797.024,267936.833,268117.241,267325.619,267922.574,True
B1_T02,1,VT,D4,slow,wide,270581.799,270581.799,271167.098,271459.077,270581.799,271946.125,272197.412,272475.586,270581.799,271626.214,True
B1_T03,1,V,,slow,narrow,274661.124,274661.124,275246.312,275538.460,274661.124,276025.591,276276.364,276554.687,,,False
B1_T04,1,T,D3,fast,wide,,,,,,,,,279547.876,280382.958,True
B1_T05,1,VT,D1,fast,narrow,282791.933,282791.933,283139.844,283320.920,282791.933,283599.342,283752.150,283933.338,283933.338,284420.152,True
B1_T06,1,V,,fast,wide,286759.357,286759.357,287107.520,287288.753,286759.357,287580.648,287719.983,287901.184,,,False
B1_T07,1,T,D7,slow,wide,,,,,,,,,289943.970,290403.602,True
B1_T08,1,VT,D2,fast,narrow,293984.803,293984.803,294333.102,294500.254,293984.803,294793.071,294945.828,295126.568,294945.828,295308.118,True
B1_T09,1,VT,D2,slow,wide,297619.075,297619.075,298203.313,298496.212,297619.075,298983.327,299233.749,299512.293,299233.749,299651.381,True
B1_T10,1,VT,D2,slow,narrow,302449.776,302449.776,303034.406,303326.658,302449.776,303813.993,304064.703,304343.040,304064.703,304343.040,True
B1_T11,1,VT,D5,slow,narrow,307225.303,307225.303,307810.124,308102.468,307225.303,308589.529,308840.279,309118.589,308102.468,308840.279,True
B1_T12,1,T,D7,slow,wide,,,,,,,,,312139.584,312975.204,True
B1_T13,1,T,D3,fast,narrow,,,,,,,,,317792.222,318126.022,True
B1_T14,1,V,,fast,wide,320423.319,320423.319,320772.017,320952.873,320423.319,321231.014,321384.119,321564.784,,,False
B1_T15,1,VT,D3,slow,narrow,324210.531,324210.531,324795.143,325086.954,324210.531,325574.533,325825.011,326104.198,325574.533,325964.373,True
B1_T16,1,VT,D7,slow,narrow,329069.185,329069.185,329654.131,329945.973,329069.185,330433.344,330683.760,330962.322,329069.185,329931.811,True
B1_T17,1,VT,D1,fast,wide,334052.553,334052.553,334400.890,334581.589,334052.553,334873.968,335013.605,335194.495,335194.495,335795.763,True
B1_T18,1,V,,slow,narrow,337630.894,337630.894,338215.646,338508.035,337630.894,338995.422,339245.618,339524.258,,,False
B2_T01,2,VT,D1,slow,narrow,377893.347,377893.347,378479.473,378770.693,377893.347,379257.704,379508.155,379786.547,379786.547,380162.338,True
B2_T02,2,VT,D6,fast,wide,382237.318,382237.318,382585.861,382766.425,382237.318,383059.011,383198.092,383379.237,382585.861,383072.761,True
B2_T03,2,V,,slow,wide,385592.547,385592.547,386177.053,386469.192,385592.547,386956.377,387207.025,387485.563,,,False
B2_T04,2,VT,D6,fast,wide,390005.976,390005.976,390354.212,390534.972,390005.976,390827.202,390966.585,391147.617,390354.212,390785.342,True
B2_T05,2,V,,slow,narrow,393960.011,393960.011,394544.764,394836.961,393960.011,395324.252,395574.958,395852.975,,,False
B2_T06,2,V,,slow,narrow,398135.792,398135.792,398720.695,399013.131,398135.792,399500.214,399750.842,400029.231,,,False
B2_T07,2,T,D6,fast,wide,,,,,,,,,402716.296,403189.684,True
B2_T08,2,V,,fast,wide,406252.599,406252.599,406600.834,406768.156,406252.599,407060.532,407213.727,407394.124,,,False
B2_T09,2,VT,D6,slow,narrow,409746.774,409746.774,410331.367,410624.198,409746.774,411111.065,411362.127,411640.390,410331.367,410721.476,True
B2_T10,2,VT,D4,slow,narrow,414467.111,414467.111,415051.242,415343.741,414467.111,415831.030,416081.681,416359.943,414467.111,414940.162,True
B2_T11,2,VT,D6,slow,wide,418991.954,418991.954,419576.188,419868.882,418991.954,420355.997,420606.367,420884.500,419576.188,419980.183,True
B2_T12,2,T,D4,slow,narrow,,,,,,,,,424407.220,425005.881,True
B2_T13,2,VT,D7,fast,narrow,427650.899,427650.899,427999.085,428167.797,427650.899,428472.340,428611.512,428792.514,427650.899,428110.468,True
B2_T14,2,T,D1,slow,narrow,,,,,,,,,433513.476,434070.646,True
B2_T15,2,T,D1,slow,wide,,,,,,,,,437716.782,438427.212,True
B2_T16,2,VT,D5,slow,narrow,440014.473,440014.473,440599.228,440891.162,440014.473,441378.208,441629.049,441907.766,440891.162,441280.800,True
B2_T17,2,VT,D6,fast,narrow,444329.429,444329.429,444677.382,444858.469,444329.429,445150.650,445289.972,445470.677,444677.382,445040.413,True
B2_T18,2,VT,D6,slow,wide,447740.237,447740.237,448325.320,448617.547,447740.237,449104.894,449355.816,449634.144,448325.320,448965.907,True
