trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D6,slow,narrow,52756.004,52756.004,53786.258,54301.259,54747.098,55205.950,55707.474,56737.815,53786.258,55749.064,True
B1_T02,1,T,D2,slow,narrow,,,,,,,,,61345.919,64144.883,True
B1_T03,1,T,D7,slow,wide,,,,,,,,,66483.852,72149.780,True
B1_T04,1,VT,D2,slow,narrow,74181.992,74181.992,75212.851,75727.779,76173.135,76632.822,77133.639,78164.092,77133.639,76952.718,True
B1_T05,1,VT,D1,slow,narrow,80294.529,80294.529,81324.789,81839.790,82285.698,82744.782,83245.759,84275.638,84275.638,83510.187,True
B1_T06,1,VT,D5,fast,narrow,86113.788,86113.788,86628.656,86879.599,87102.107,87338.637,87589.387,88104.350,86879.599,87770.199,True
B1_T07,1,VT,D3,fast,narrow,90513.321,90513.321,91028.098,91278.656,91501.698,91738.231,91988.737,92504.167,91738.231,92169.936,True
B1_T08,1,VT,D5,slow,narrow,94689.688,94689.688,95719.992,96235.325,96680.540,97139.956,97641.258,98671.632,96235.325,98156.245,True
