trial,block,sensory_condition,position,speed,width,stimulus_onset_ms,position_D7_ms, position_D6_ms, position_D5_ms, position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,response_made
B1_T01,1,VT,D5,fast,narrow,43864.311,43864.311,44114.779,44240.281,44351.614,44477.138,44602.144,44853.028,,44629.915,True
B1_T02,1,VT,D4,slow,wide,48082.103,48082.103,48847.872,49237.603,49571.698,49919.612,50295.576,51075.099,,49919.612,True
B1_T03,1,VT,D1,slow,wide,52300.376,52300.376,53066.308,53455.915,53790.085,54137.871,54513.910,55279.835,,55780.611,True
B1_T04,1,V,,slow,narrow,56991.825,56991.825,57757.822,58147.793,58481.728,58829.732,59205.374,59984.950,,,False
B1_T05,1,VT,D1,slow,narrow,61209.977,61209.977,61976.079,62365.267,62699.826,63047.641,63423.473,64203.505,,64620.685,True
B1_T06,1,VT,D3,slow,wide,65832.329,65832.329,66597.764,66987.795,67321.737,67669.769,68045.607,68811.346,,67948.548,True
B1_T07,1,VT,D3,slow,wide,70050.323,70050.323,70815.993,71205.678,71539.717,71888.054,72263.715,73029.371,,72249.804,True
B1_T08,1,VT,D3,slow,narrow,74268.166,74268.166,75033.688,75423.859,75757.796,76105.787,76481.770,77247.142,,76412.281,True
B1_T09,1,V,,fast,wide,78486.235,78486.235,78737.254,78862.220,78973.857,79098.799,79223.949,79474.687,,,False
B1_T10,1,T,D1,fast,narrow,,,,,,,,,,84166.704,True
B1_T11,1,V,,slow,narrow,86922.678,86922.678,87688.259,88077.826,88412.016,88760.283,89136.249,89902.224,,,False
B1_T12,1,V,,slow,wide,91150.123,91150.123,91907.416,92297.089,92631.200,92979.246,93355.026,94121.182,,,False
B1_T13,1,V,,fast,wide,95373.630,95373.630,95624.367,95749.475,95861.339,95986.000,96111.421,96362.168,,,False
B1_T14,1,VT,D4,fast,narrow,99591.581,99591.581,99842.056,99967.491,100078.883,100204.083,100329.017,100579.950,,100510.547,True
B1_T15,1,T,D4,slow,narrow,,,,,,,,,,105773.103,True
B1_T16,1,VT,D6,fast,wide,108028.673,108028.673,108279.162,108404.193,108516.084,108641.009,108765.980,109016.491,,108918.924,True
B1_T17,1,V,,fast,narrow,112246.985,112246.985,112497.268,112622.535,112734.029,112859.540,112984.848,113235.732,,,False
B1_T18,1,V,,slow,wide,116464.980,116464.980,117231.377,117621.042,117955.115,118303.503,118679.086,119458.711,,,False
B1_T19,1,VT,D6,slow,narrow,120683.671,120683.671,121449.626,121839.397,122173.348,122521.352,122897.233,123663.349,,121881.807,True
B1_T20,1,VT,D7,fast,narrow,124901.878,124901.878,125152.492,125277.625,125389.201,125514.546,125639.790,125890.269,,125347.561,True
B1_T21,1,VT,D7,fast,wide,129118.508,129118.508,129371.407,129496.815,129607.966,129719.454,129845.149,130109.557,,129942.264,True
B1_T22,1,VT,D6,slow,narrow,133339.395,133339.395,134105.240,134494.937,134829.119,135177.094,135552.969,136318.870,,134745.655,True
B1_T23,1,V,,fast,narrow,137557.070,137557.070,137808.167,137933.140,138044.371,138169.964,138294.947,138545.825,,138309.038,True
B1_T24,1,VT,D4,fast,narrow,141776.472,141776.472,142027.213,142152.867,142263.880,142389.211,142514.616,142765.049,,142612.727,True
B1_T25,1,VT,D4,fast,wide,145994.825,145994.825,146245.817,146370.761,146482.230,146607.343,146732.902,146983.251,,146788.291,True
B1_T26,1,VT,D2,slow,narrow,150213.347,150213.347,150978.845,151368.681,151702.970,152051.082,152426.776,153192.625,,152775.002,True
B1_T27,1,V,,slow,wide,154431.526,154431.526,155197.930,155586.709,155920.878,156268.750,156644.932,157424.093,,,False
B1_T28,1,VT,D6,fast,narrow,158648.886,158648.886,158899.853,159024.730,159136.184,159261.823,159386.875,159637.575,,159275.393,True
B1_T29,1,T,D5,slow,wide,,,,,,,,,,164537.713,True
B1_T30,1,T,D6,slow,wide,,,,,,,,,,168352.857,True
B1_T31,1,T,D7,slow,wide,,,,,,,,,,171777.295,True
B1_T32,1,V,,fast,wide,175536.337,175536.337,175787.256,175912.257,176023.361,176148.893,176274.351,176524.714,,,False
B1_T33,1,T,D3,fast,narrow,,,,,,,,,,185073.839,True
B1_T34,1,VT,D2,slow,wide,186285.013,186285.013,187050.432,187440.211,187774.687,188122.691,188498.517,189264.322,,188832.680,True
B1_T35,1,VT,D5,slow,narrow,190503.098,190503.098,191268.452,191658.810,191992.250,192340.438,192716.568,193482.150,,192075.783,True
B1_T36,1,VT,D2,slow,narrow,194720.891,194720.891,195486.536,195876.671,196210.697,196558.854,196934.907,197700.392,,197338.589,True
B1_T37,1,VT,D4,fast,narrow,198939.037,198939.037,199190.196,199315.112,199426.812,199551.969,199677.287,199927.885,,199691.268,True
B1_T38,1,VT,D7,slow,narrow,203158.044,203158.044,203924.061,204314.414,204648.394,204996.724,205372.423,206137.785,,203603.775,True
B1_T39,1,VT,D2,fast,narrow,207376.675,207376.675,207627.150,207752.675,207864.538,207989.244,208115.098,208365.641,,208211.943,True
B1_T40,1,T,D6,fast,wide,,,,,,,,,,212388.742,True
B1_T41,1,T,D7,fast,wide,,,,,,,,,,216286.286,True
B1_T42,1,V,,slow,narrow,220031.618,220031.618,220797.590,221187.540,221521.652,221869.755,222245.369,223011.053,,,False
B1_T43,1,V,,slow,wide,224250.278,224250.278,225015.860,225405.566,225739.501,226087.630,226463.318,227243.080,,,False
B1_T44,1,V,,fast,wide,228468.065,228468.065,228718.650,228844.032,228955.383,229080.844,229205.839,229456.861,,229108.463,True
